"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count"
Nivola - Nivola Service Portal Backend,"Wed, 16 Nov 2022 17:37:57 +0100",aws-java-sdk-core-1.11.586.jar,C:\Users\filip\.m2\repository\com\amazonaws\aws-java-sdk-core\1.11.586\aws-java-sdk-core-1.11.586.jar,The AWS SDK for Java - Core module holds the classes that are used by the individual service clients to interact with Amazon Web Services. Users need to depend on aws-java-sdk artifact for accessing individual client classes.,"",1bc95cb5dcc7bc0dc885e11f5f8015bb,700a225f6fffc17231646df4c9da41d1d4e790c7,pkg:maven/com.amazonaws/aws-java-sdk-core@1.11.586,cpe:2.3:a:amazon:aws-sdk-java:1.11.586:*:*:*:*:*:*:*,CVE-2022-31159,CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),"The AWS SDK for Java enables Java developers to work with Amazon Web Services. A partial-path traversal issue exists within the `downloadDirectory` method in the AWS S3 TransferManager component of the AWS SDK for Java v1 prior to version 1.12.261. Applications using the SDK control the `destinationDirectory` argument, but S3 object keys are determined by the application that uploaded the objects. The `downloadDirectory` method allows the caller to pass a filesystem object in the object key but contained an issue in the validation logic for the key name. A knowledgeable actor could bypass the validation logic by including a UNIX double-dot in the bucket key. Under certain conditions, this could permit them to retrieve a directory from their S3 bucket that is one level up in the filesystem from their working directory. This issue’s scope is limited to directories whose name prefix matches the destinationDirectory. E.g. for destination directory`/tmp/foo`, the actor can cause a download to `/tmp/foo-bar`, but not `/tmp/bar`. If `com.amazonaws.services.s3.transfer.TransferManager::downloadDirectory` is used to download an untrusted buckets contents, the contents of that bucket can be written outside of the intended destination directory. Version 1.12.261 contains a patch for this issue. As a workaround, when calling `com.amazonaws.services.s3.transfer.TransferManager::downloadDirectory`, pass a `KeyFilter` that forbids `S3ObjectSummary` objects that `getKey` method return a string containing the substring `..` .",NVD,"","","",MEDIUM,6.5,/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,HIGH,24
Nivola - Nivola Service Portal Backend,"Wed, 16 Nov 2022 17:37:57 +0100",bcprov-jdk15on-1.59.jar,C:\Users\filip\.m2\repository\org\bouncycastle\bcprov-jdk15on\1.59\bcprov-jdk15on-1.59.jar,The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms. This jar contains JCE provider and lightweight API for the Bouncy Castle Cryptography APIs for JDK 1.5 to JDK 1.8.,Bouncy Castle Licence: http://www.bouncycastle.org/licence.html,7c7e9a51e0c86e26e3cc39b2ed678c4f,2507204241ab450456bdb8e8c0a8f986e418bd99,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.59,"cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle:1.59:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle-java-crytography-api:1.59:*:*:*:*:*:*:*",CVE-2018-1000180,CWE-327 Use of a Broken or Risky Cryptographic Algorithm,"Bouncy Castle BC 1.54 - 1.59, BC-FJA 1.0.0, BC-FJA 1.0.1 and earlier have a flaw in the Low-level interface to RSA key pair generator, specifically RSA Key Pairs generated in low-level API with added certainty may have less M-R tests than expected. This appears to be fixed in versions BC 1.60 beta 4 and later, BC-FJA 1.0.2 and later.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:P/I:P/A:N,HIGH,7.5,/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,HIGH,47
Nivola - Nivola Service Portal Backend,"Wed, 16 Nov 2022 17:37:57 +0100",bcprov-jdk15on-1.59.jar,C:\Users\filip\.m2\repository\org\bouncycastle\bcprov-jdk15on\1.59\bcprov-jdk15on-1.59.jar,The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms. This jar contains JCE provider and lightweight API for the Bouncy Castle Cryptography APIs for JDK 1.5 to JDK 1.8.,Bouncy Castle Licence: http://www.bouncycastle.org/licence.html,7c7e9a51e0c86e26e3cc39b2ed678c4f,2507204241ab450456bdb8e8c0a8f986e418bd99,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.59,"cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle:1.59:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle-java-crytography-api:1.59:*:*:*:*:*:*:*",CVE-2018-1000613,"CWE-502 Deserialization of Untrusted Data, CWE-470 Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection')",Legion of the Bouncy Castle Legion of the Bouncy Castle Java Cryptography APIs 1.58 up to but not including 1.60 contains a CWE-470: Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection') vulnerability in XMSS/XMSS^MT private key deserialization that can result in Deserializing an XMSS/XMSS^MT private key can result in the execution of unexpected code. This attack appear to be exploitable via A handcrafted private key can include references to unexpected classes which will be picked up from the class path for the executing application. This vulnerability appears to have been fixed in 1.60 and later.,NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,47
Nivola - Nivola Service Portal Backend,"Wed, 16 Nov 2022 17:37:57 +0100",bcprov-jdk15on-1.59.jar,C:\Users\filip\.m2\repository\org\bouncycastle\bcprov-jdk15on\1.59\bcprov-jdk15on-1.59.jar,The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms. This jar contains JCE provider and lightweight API for the Bouncy Castle Cryptography APIs for JDK 1.5 to JDK 1.8.,Bouncy Castle Licence: http://www.bouncycastle.org/licence.html,7c7e9a51e0c86e26e3cc39b2ed678c4f,2507204241ab450456bdb8e8c0a8f986e418bd99,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.59,"cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle:1.59:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle-java-crytography-api:1.59:*:*:*:*:*:*:*",CVE-2020-0187,CWE-310 Cryptographic Issues,"In engineSetMode of BaseBlockCipher.java, there is a possible incorrect cryptographic algorithm chosen due to an incomplete comparison. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-10Android ID: A-148517383",OSSINDEX,MEDIUM,5.5,/AV:L/AC:L/Au:/C:H/I:N/A:N,"","","",HIGH,47
Nivola - Nivola Service Portal Backend,"Wed, 16 Nov 2022 17:37:57 +0100",bcprov-jdk15on-1.59.jar,C:\Users\filip\.m2\repository\org\bouncycastle\bcprov-jdk15on\1.59\bcprov-jdk15on-1.59.jar,The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms. This jar contains JCE provider and lightweight API for the Bouncy Castle Cryptography APIs for JDK 1.5 to JDK 1.8.,Bouncy Castle Licence: http://www.bouncycastle.org/licence.html,7c7e9a51e0c86e26e3cc39b2ed678c4f,2507204241ab450456bdb8e8c0a8f986e418bd99,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.59,"cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle:1.59:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle-java-crytography-api:1.59:*:*:*:*:*:*:*",CVE-2020-26939,CWE-203 Information Exposure Through Discrepancy,"In Legion of the Bouncy Castle BC before 1.61 and BC-FJA before 1.0.1.2, attackers can obtain sensitive information about a private exponent because of Observable Differences in Behavior to Error Inputs. This occurs in org.bouncycastle.crypto.encodings.OAEPEncoding. Sending invalid ciphertext that decrypts to a short payload in the OAEP Decoder could result in the throwing of an early exception, potentially leaking some information about the private exponent of the RSA private key performing the encryption.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:P/I:P/A:N,MEDIUM,5.3,/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,HIGH,47
Nivola - Nivola Service Portal Backend,"Wed, 16 Nov 2022 17:37:57 +0100",commons-io-2.5.jar,C:\Users\filip\.m2\repository\commons-io\commons-io\2.5\commons-io-2.5.jar,"The Apache Commons IO library contains utility classes, stream implementations, file filters,  file comparators, endian transformation classes, and much more.",http://www.apache.org/licenses/LICENSE-2.0.txt,e2d74794fba570ec2115fb9d5b05dc9b,2852e6e05fbb95076fc091f6d1780f1f8fe35e0f,pkg:maven/commons-io/commons-io@2.5,cpe:2.3:a:apache:commons_io:2.5:*:*:*:*:*:*:*,CVE-2021-29425,CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),"In Apache Commons IO before 2.7, When invoking the method FileNameUtils.normalize with an improper input string, like ""//../foo"", or ""\\..\foo"", the result would be the same value, thus possibly providing access to files in the parent directory, but not further above (thus ""limited"" path traversal), if the calling code would use the result to construct a path value.",NVD,MEDIUM,5.8,/AV:N/AC:M/Au:N/C:P/I:P/A:N,MEDIUM,4.8,/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N,HIGH,40
Nivola - Nivola Service Portal Backend,"Wed, 16 Nov 2022 17:37:57 +0100",dom4j-1.6.1.jar,C:\Users\filip\.m2\repository\dom4j\dom4j\1.6.1\dom4j-1.6.1.jar,dom4j: the flexible XML framework for Java,"",4d8f51d3fe3900efc6e395be48030d6d,5d3ccc056b6f056dbf0dddfdf43894b9065a8f94,pkg:maven/dom4j/dom4j@1.6.1,cpe:2.3:a:dom4j_project:dom4j:1.6.1:*:*:*:*:*:*:*,CVE-2018-1000632,CWE-91 XML Injection (aka Blind XPath Injection),"dom4j version prior to version 2.1.1 contains a CWE-91: XML Injection vulnerability in Class: Element. Methods: addElement, addAttribute that can result in an attacker tampering with XML documents through XML injection. This attack appear to be exploitable via an attacker specifying attributes or elements in the XML document. This vulnerability appears to have been fixed in 2.1.1 or later.",OSSINDEX,HIGH,7.5,/AV:N/AC:L/Au:/C:N/I:H/A:N,"","","",HIGH,25
Nivola - Nivola Service Portal Backend,"Wed, 16 Nov 2022 17:37:57 +0100",dom4j-1.6.1.jar,C:\Users\filip\.m2\repository\dom4j\dom4j\1.6.1\dom4j-1.6.1.jar,dom4j: the flexible XML framework for Java,"",4d8f51d3fe3900efc6e395be48030d6d,5d3ccc056b6f056dbf0dddfdf43894b9065a8f94,pkg:maven/dom4j/dom4j@1.6.1,cpe:2.3:a:dom4j_project:dom4j:1.6.1:*:*:*:*:*:*:*,CVE-2020-10683,CWE-611 Improper Restriction of XML External Entity Reference ('XXE'),"dom4j before 2.0.3 and 2.1.x before 2.1.3 allows external DTDs and External Entities by default, which might enable XXE attacks. However, there is popular external documentation from OWASP showing how to enable the safe, non-default behavior in any application that uses dom4j.",NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,25
Nivola - Nivola Service Portal Backend,"Wed, 16 Nov 2022 17:37:57 +0100",hibernate-core-5.2.8.Final.jar,C:\Users\filip\.m2\repository\org\hibernate\hibernate-core\5.2.8.Final\hibernate-core-5.2.8.Final.jar,The core O/RM functionality as provided by Hibernate,GNU Lesser General Public License: http://www.gnu.org/licenses/lgpl-2.1.html,81eb94720f0a1940747b297696c67ca0,536e380bb49cf5e5ac7bcb017a1d46b5183af2f6,pkg:maven/org.hibernate/hibernate-core@5.2.8.Final,"",CVE-2019-14900,CWE-89 Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),"A flaw was found in Hibernate ORM in versions before 5.3.18, 5.4.18 and 5.5.0.Beta1. A SQL injection in the implementation of the JPA Criteria API can permit unsanitized literals when a literal is used in the SELECT or GROUP BY parts of the query. This flaw could allow an attacker to access unauthorized information or possibly conduct further attacks.",OSSINDEX,MEDIUM,6.5,/AV:N/AC:L/Au:/C:H/I:N/A:N,"","","",HIGH,35
Nivola - Nivola Service Portal Backend,"Wed, 16 Nov 2022 17:37:57 +0100",hibernate-core-5.2.8.Final.jar,C:\Users\filip\.m2\repository\org\hibernate\hibernate-core\5.2.8.Final\hibernate-core-5.2.8.Final.jar,The core O/RM functionality as provided by Hibernate,GNU Lesser General Public License: http://www.gnu.org/licenses/lgpl-2.1.html,81eb94720f0a1940747b297696c67ca0,536e380bb49cf5e5ac7bcb017a1d46b5183af2f6,pkg:maven/org.hibernate/hibernate-core@5.2.8.Final,"",CVE-2020-25638,CWE-89 Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),A flaw was found in hibernate-core in versions prior to and including 5.4.23.Final. A SQL injection in the implementation of the JPA Criteria API can permit unsanitized literals when a literal is used in the SQL comments of the query. This flaw could allow an attacker to access unauthorized information or possibly conduct further attacks. The highest threat from this vulnerability is to data confidentiality and integrity.,OSSINDEX,HIGH,7.4,/AV:N/AC:H/Au:/C:H/I:H/A:N,"","","",HIGH,35
Nivola - Nivola Service Portal Backend,"Wed, 16 Nov 2022 17:37:57 +0100",hibernate-validator-5.3.4.Final.jar,C:\Users\filip\.m2\repository\org\hibernate\hibernate-validator\5.3.4.Final\hibernate-validator-5.3.4.Final.jar,Hibernate's Bean Validation (JSR-303) reference implementation.,http://www.apache.org/licenses/LICENSE-2.0.txt,540c4f2374a74674f00e2f2691bb2cce,2f6c8c0b646afe18e3ad205726729d3c4a85fe2e,pkg:maven/org.hibernate/hibernate-validator@5.3.4.Final,cpe:2.3:a:redhat:hibernate_validator:5.3.4:*:*:*:*:*:*:*,CVE-2017-7536,CWE-470 Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection'),"In Hibernate Validator 5.2.x before 5.2.5 final, 5.3.x, and 5.4.x, it was found that when the security manager's reflective permissions, which allows it to access the private members of the class, are granted to Hibernate Validator, a potential privilege escalation can occur. By allowing the calling code to access those private members without the permission an attacker may be able to validate an invalid instance and access the private member value via ConstraintViolation#getInvalidValue().",NVD,MEDIUM,4.4,/AV:L/AC:M/Au:N/C:P/I:P/A:P,HIGH,7.0,/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,HIGH,34
Nivola - Nivola Service Portal Backend,"Wed, 16 Nov 2022 17:37:57 +0100",hibernate-validator-5.3.4.Final.jar,C:\Users\filip\.m2\repository\org\hibernate\hibernate-validator\5.3.4.Final\hibernate-validator-5.3.4.Final.jar,Hibernate's Bean Validation (JSR-303) reference implementation.,http://www.apache.org/licenses/LICENSE-2.0.txt,540c4f2374a74674f00e2f2691bb2cce,2f6c8c0b646afe18e3ad205726729d3c4a85fe2e,pkg:maven/org.hibernate/hibernate-validator@5.3.4.Final,cpe:2.3:a:redhat:hibernate_validator:5.3.4:*:*:*:*:*:*:*,CVE-2019-10219,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),A vulnerability was found in Hibernate-Validator. The SafeHtml validator annotation fails to properly sanitize payloads consisting of potentially malicious code in HTML comments and instructions. This vulnerability can result in an XSS attack.,NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:N/A:N,MEDIUM,6.1,/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGH,34
